SOCIETY,LAT,LONG,SUB,SUB2,PROTEIN,DENSITY,PLTYSIZE,AREA,MinTemp,CRR,MAT,Elevation
KEWA(WEST),-6.334,143.728,AL,AGG,LIVESTOCK,17.9,33.8,1.88826815642458,12.1999998092651,3171,18.5791664123535,1581
KIMAAMA,-7.971,138.352,AF,AGG,FISHING,0.5,197.2,394.4,22,1987,27.1166667938232,6
KIRIKIRI,-3.033,137.466,S-FH,SAGO-FISH,FISHING,1.1,,,22,3297,26.5874996185303,94
KIWAI ISLAND,-8.522,143.394,SF,SAGO-FISH,FISHING,3.5,,,21.8999996185303,2544,26.2416667938232,13
KOMBIO,-3.515,142.715,SH-L,HORT,LIVESTOCK,14.8,78,5.27027027027027,19.3999996185303,2024,24.3083343505859,503
KOPAR,-3.921,144.471,SF,SAGO-FISH,FISHING,0.8,56,70,21.7999992370605,2334,26.845832824707,13
KOPON (LOWER,-5.213,144.375,HH,HORT,HUNTING,10.9,20,1.8348623853211,14.8000001907349,3326,20.7416667938232,1051
KORIKI/PURARI,-7.607,145.039,SF,SAGO-FISH,FISHING,4.7,856,182.127659574468,20.8999996185303,3279,26.0166664123535,16
KUNIMAIPA,-8.059,146.891,HL,HORT,LIVESTOCK,13.7,110.7,8.08029197080292,11.8000001907349,2540,18.2541675567627,1892
KWANGA (TAU),-3.665,142.725,HL,HORT,LIVESTOCK,14.1,323,22.9078014184397,20.6000003814697,1977,25.6124992370605,255
KWANGA(BONGOS),-3.743,142.665,H-HL,HORT,LIVESTOCK,17.7,475.8,26.8813559322034,21.1000003814697,2117,26.125,174
KWANGA(KWANGA),-3.683,142.842,H-HL,HORT,LIVESTOCK,11.2,265.7,23.7232142857143,20.7999992370605,1925,26.0083332061768,211
KWERBA,-2.558,138.44,SH,SAGO,HUNTING,0.5,55,110,20.8999996185303,2892,25.3624992370605,378
KWOMA(HILL),-4.139,142.716,SF,SAGO-FISH,FISHING,6.3,280,44.4444444444444,21.7999992370605,2646,26.9541664123535,46
KWOMA(NUKUMA),-4.06,142.66,SH,SAGO,HUNTING,1.6,142,88.75,21.8999996185303,2558,26.9791660308838,27
LANGAM,-4.306,143.885,SF,SAGO-FISH,FISHING,5.1,200,39.2156862745098,20.7999992370605,2431,26.6625003814697,21
MAKLEW,-7.725,139.259,S-FH,SAGO-FISH,FISHING,0.2,38,190,22.1000003814697,1972,27.1375007629395,6
MALINGUAT(GAIKAROBI),-4.106,143.29,S-FH,SAGO-FISH,FISHING,5.6,325,58.0357142857143,21.2999992370605,2312,26.908332824707,23
MANAMBU,-4.188,142.87,SH-F,HORT,FISHING,3.7,430,116.216216216216,21.7999992370605,2658,27.2041664123535,25
MANDER,-2.254,138.89,SH,SAGO,HUNTING,0.3,90,300,22.3999996185303,2697,26.9333324432373,65
MARI,-4.475,142.963,SH,SAGO,HUNTING,1,27,27,21.1000003814697,2931,26.6916656494141,69
MARIND-ANIM,-9.138,141.076,SF,SAGO-FISH,FISHING,2.1,430,204.761904761905,21.8999996185303,1462,26.6416664123535,22
MARING(BOMAGAI),-5.441,144.77,HL,HORT,LIVESTOCK,18.3,154,8.41530054644809,16.2999992370605,3597,22.1124992370605,854
MARING(KAUW),-5.465,144.636,HL,HORT,LIVESTOCK,22.3,460,20.627802690583,12.3999996185303,2583,18.2749996185303,1674
MARING(TSEM),-5.377,144.644,HL,HORT,LIVESTOCK,34.4,280,8.13953488372093,14.1000003814697,3198,19.9583339691162,1353
MAYO,-4.128,142.579,SH,SAGO,HUNTING,1.9,121,63.6842105263158,21.8999996185303,2703,26.9750003814697,33
MEAKAMBUT,-4.845,143.594,SH,SAGO,HUNTING,0.5,,,18.6000003814697,3177,24.341667175293,490
MEK (EIPO),-4.362,140.047,HH,HORT,HUNTING,5.9,107,18.135593220339,16.5,2932,21.4500007629395,1027
MELPA (CENTR,-5.858,144.236,AL,AGG,LIVESTOCK,59.5,264,4.43697478991597,12.1999998092651,2568,18.6458339691162,1718
MELPA (NORTH,-5.616,144.298,AL,AGG,LIVESTOCK,55.9,151,2.70125223613596,11,2479,17.0125007629395,1934
MENDI(MAP),-6.093,143.629,AL,AGG,LIVESTOCK,78.1,302.5,3.87323943661972,10.8000001907349,2874,17.3999996185303,1808
MENDI(SOUTH),-6.05,143.662,AL,AGG,LIVESTOCK,41.9,321,7.66109785202864,9.5,2709,16.1791667938232,2200
MENYA,-7.159,146.074,HL,HORT,LIVESTOCK,16,,,13.5,2197,20.0625,1613
MIANMIN(EAST,-4.858,141.568,HH,HORT,HUNTING,1.4,53,37.8571428571429,17.1000003814697,3689,21.9624996185303,941
MINAMIN(WEST),-4.765,141.395,HH,HORT,HUNTING,1.1,44,40,16.1000003814697,3937,21.0499992370605,1179
MONGOL,-4.263,143.917,SF,SAGO-FISH,FISHING,2.9,150,51.7241379310345,20.7999992370605,2369,26.7124996185303,15
MONI,-3.956,136.482,HL,HORT,LIVESTOCK,4.1,24.9,6.07317073170732,11.6000003814697,3344,17.4583339691162,1875
MURIK,-3.847,144.179,SF,SAGO-FISH,FISHING,3.5,230,65.7142857142857,21.3999996185303,2082,26.8833332061768,10
MUYU (SOUTH),-6.049,140.893,HH,HORT,HUNTING,10.8,32,2.96296296296296,21.8999996185303,5041,27.0541667938232,45
NAGATMAN/JADE,-3.805,141.571,SH,SAGO,HUNTING,1.1,74.8,68,22.2999992370605,2769,26.5583343505859,70
NAMIE,-3.848,141.787,SH,SAGO,HUNTING,5.9,88.5,15,22.2000007629395,2781,26.5583324432373,76
NARAK,-5.56,144.752,HL,HORT,LIVESTOCK,12.8,222,17.34375,12.5,2554,18.404167175293,1590
NDOM,-7.933,138.023,AF,AGG,FISHING,0.3,96.3,321,22.1000003814697,2051,27.1666660308838,5
NGALA,-4.267,142.503,SF,SAGO-FISH,FISHING,1.5,136,90.6666666666667,22,2914,27.0249996185303,15
NGALUM,-4.862,140.604,HL,HORT,LIVESTOCK,29.8,85,2.85234899328859,13.6999998092651,4694,18.8083324432373,1584
NIMBORAN,-2.593,140.187,SH-H,HORT,HUNTING,38.6,,,22.2999992370605,2308,27.1000003814697,61
NIMO/ITERI,-4.339,141.572,SH-H,HORT,HUNTING,1,32,32,22.2000007629395,3291,26.6208343505859,81
NOPUK,-2.611,138.404,SH,SAGO,HUNTING,2.1,94,44.7619047619048,21.5,2899,25.9541664123535,186
ODOODEE,-6.59,142.482,SH,SAGO,HUNTING,1.5,54,36,20.8999996185303,4026,26.1416664123535,139
OKSAPMIN,-5.233,142.115,HL,HORT,LIVESTOCK,34.7,175,5.04322766570605,12,3824,17.5041656494141,1769
OKSAPMIN(BAK),-5.259,142.074,HH,HORT,HUNTING,12.7,,,12.1000003814697,3949,17.5499992370605,1811
OLO(WAPE),-3.508,141.993,SH-H,HORT,HUNTING,13.6,190,13.9705882352941,20.6000003814697,2538,24.8208332061768,353
ONABASULU,-6.292,142.769,SH-HL,HORT,HUNTING,1.7,49,28.8235294117647,17.7000007629395,4198,23.404167175293,691
OWINIGA,-4.45,141.697,SH-FH,HORT,HUNTING,0.5,10,20,22.2000007629395,3392,26.7958335876465,48
PAHI,-3.799,142.303,SH,SAGO,HUNTING,1.8,88,48.8888888888889,21.5,2450,26.0833339691162,169
