"MinTemp","CRR","MAT","Elevation","SOCIETY","LAT","LONG","SUB","DENSITY","PLTYSIZE","AREA"
22.7000007629395,2503,26.7374992370605,NA,"TUMLEO",-3.12,142.398,"SF",15.5,"71",4.58064516129032
13.5,2197,20.0625,1613,"MENYA",-7.159,146.074,"HL",16,"",NA
11.5,2101,17.8291664123535,1792,"AUYANA",-6.527,145.761,"HL",16.5,"177",10.7272727272727
12.6999998092651,1910,19.3541660308838,1552,"KAMANO(KAFE)",-6.243,145.678,"HL",17.1,"207",12.1052631578947
20.7999992370605,1869,26.4791660308838,151,"ABELAM(EAST)",-3.706,143.179,"HL",17.7,"247",13.954802259887
21.1000003814697,2117,26.125,174,"KWANGA(BONGOS)",-3.743,142.665,"H-HL",17.7,"475.8",26.8813559322034
6.90000009536743,2751,13.216667175293,2654,"ENGA(YUMBISA)",-5.623,143.314,"AL",17.8,"449",25.2247191011236
12.1999998092651,3171,18.5791664123535,1581,"KEWA(WEST)",-6.334,143.728,"AL",17.9,"33.8",1.88826815642458
12.6000003814697,3422,19.25,1389,"KEWA(SOUTH)",-6.68,144.009,"H-HL",18.2,"142.7",7.84065934065934
10.1999998092651,2404,16.5499992370605,2041,"GIMI",-6.497,145.214,"AL",18.3,"118",6.44808743169399
16.2999992370605,3597,22.1124992370605,854,"MARING(BOMAGAI)",-5.441,144.77,"HL",18.3,"154",8.41530054644809
10.6999998092651,2115,17.1499996185303,1894,"KAMANO(SOUTH)",-6.37,145.738,"HL",18.4,"218",11.8478260869565
20.5,1906,25.529167175293,255,"URAT",-3.596,142.794,"HL",18.5,"245",13.2432432432432
12.6999998092651,1960,19.1749992370605,1619,"BENA BENA",-6.093,145.532,"AL",18.9,"175",9.25925925925926
16.3999996185303,3563,22.1166667938232,834,"GAINJ",-5.274,144.762,"H-HL",19.5,"82.1",4.21025641025641
11.5,2210,17.966667175293,1828,"FORE (SOUTH)",-6.656,145.544,"HH",19.9,"152",7.63819095477387
9.10000038146973,2158,15.3874998092651,2258,"SIANE",-6.1,145.246,"HL",21,"204",9.71428571428571
12.3999996185303,2583,18.2749996185303,1674,"MARING(KAUW)",-5.465,144.636,"HL",22.3,"460",20.627802690583
9,2939,15.5583333969116,2174,"IMBONGGU",-6.136,144.029,"AL",23,"124",5.39130434782609
9,2606,15.6708335876465,2185,"KAUGEL",-5.964,144.029,"AL",23.2,"319",13.75
20.7000007629395,1896,25.9916667938232,193,"ARAPESH(BUMB)",-3.644,142.876,"SH-H",24,"165.3",6.8875
22.7000007629395,3506,26.8374996185303,20,"WAROPEN",-2.256,136.526,"SF",25.8,"700",27.1317829457364
10.3000001907349,2801,16.3041667938232,2066,"WOLA",-6.14,143.364,"HL",25.8,"133.9",5.18992248062016
13.3000001907349,2543,18.9833335876465,1500,"DANI(BOKONDINI)",-3.671,138.647,"AL",26.1,"200",7.66283524904215
20.7000007629395,2469,25.0541667938232,314,"AU",-3.529,142.109,"SH-H",26.9,"202",7.5092936802974
12.5,2624,18.5,1673,"ENGA(RAIAPU SAKA",-5.57,144.101,"AL",28.4,"350",12.3239436619718
13,1984,19.4874992370605,1631,"GAHUKU GAMA",-6.044,145.383,"HL",28.6,".",NA
11.1999998092651,2212,17.6916675567627,1883,"FORE (NORTH)",-6.512,145.596,"HL",29.4,"256",8.70748299319728
11.6000003814697,2581,17.3291664123535,1830,"WAHGI (NORTH",-5.722,144.799,"AL",29.6,"151",5.10135135135135
20,1888,25.1458339691162,350,"WAM",-3.53,142.877,"HH",29.7,"254",8.55218855218855
13.6999998092651,4694,18.8083324432373,1584,"NGALUM",-4.862,140.604,"HL",29.8,"85",2.85234899328859
14.6999998092651,2874,20.4208335876465,1234,"GENDE",-5.686,145.174,"H-HL",30.3,"447",14.7524752475248
10.8999996185303,3398,17.2958335876465,1911,"KEWA(EAST)",-6.343,143.934,"AL",30.8,"162",5.25974025974026
12.6000003814697,3198,19.3500003814697,1390,"WIRU",-6.351,144.216,"H-HL",32.1,"416.7",12.981308411215
10.3000001907349,2946,16.6958332061768,2014,"ANGANEN",-6.241,143.583,"AL",32.7,".",NA
12.3999996185303,2093,18.9291667938232,1591,"GADSUP(AKUNA)",-6.357,145.946,"HL",33.2,"269",8.10240963855422
11.3000001907349,2482,17.5750007629395,1888,"WAHGI (SOUTH",-5.99,144.753,"AL",33.6,"450",13.3928571428571
14.1000003814697,3198,19.9583339691162,1353,"MARING(TSEM)",-5.377,144.644,"HL",34.4,"280",8.13953488372093
12,3824,17.5041656494141,1769,"OKSAPMIN",-5.233,142.115,"HL",34.7,"175",5.04322766570605
10.1999998092651,2181,16.625,1986,"USARUFA",-6.397,145.631,"HL",36.1,"197",5.45706371191136
14.1000003814697,2066,20.3583335876465,1661,"DANI (DUGUM)",-4.096,138.946,"AL",38.2,"340",8.90052356020942
22.2999992370605,2308,27.1000003814697,61,"NIMBORAN",-2.593,140.187,"SH-H",38.6,"",NA
12.1000003814697,2155,18.5791664123535,1694,"GURURUMBA",-5.965,145.267,"AL",40.9,"238",5.81907090464548
13.3999996185303,3327,19.1916675567627,1587,"KAPAUKU",-4.054,136.083,"AL",41,"176",4.29268292682927
9.5,2709,16.1791667938232,2200,"MENDI(SOUTH)",-6.05,143.662,"AL",41.9,"321",7.66109785202864
20.1000003814697,1843,25.591667175293,285,"ARAPESH(KAB)",-3.646,143.194,"HL",43.4,"191.2",4.40552995391705
14.3000001907349,3432,20.4208335876465,1228,"ENGA(RAIAPU LAI)",-5.556,144.155,"AL",43.8,"225",5.13698630136986
20.7999992370605,1890,26.2708339691162,140,"ARAPESH(ILAH",-3.682,142.939,"HL",44.2,"503",11.3800904977376
10.3999996185303,2466,16.2916660308838,2175,"KALAM",-5.265,144.584,"HL",48.8,"44",0.901639344262295
5.59999990463257,3155,11.1833333969116,3109,"DANI (WEST)",-3.776,138.222,"HL",49.1,"155",3.15682281059063
11.5,2178,17.9291667938232,1860,"YAGARIA",-6.331,145.384,"HL",55.2,"244",4.42028985507246
11,2479,17.0125007629395,1934,"MELPA (NORTH",-5.616,144.298,"AL",55.9,"151",2.70125223613596
11.8999996185303,2121,18.4458332061768,1724,"YATE",-6.317,145.543,"HL",56.6,"234.4",4.14134275618375
12.1000003814697,2960,17.9791660308838,1817,"HULI (TOANDA",-5.935,142.96,"AL",58.5,"500",8.54700854700855
12.1999998092651,2568,18.6458339691162,1718,"MELPA (CENTR",-5.858,144.236,"AL",59.5,"264",4.43697478991597
10.6000003814697,2212,17.1041660308838,1995,"CHIMBU (UPPE",-5.9,145.052,"AL",61.3,"459",7.48776508972268
20.5,1838,26.0041675567627,201,"ABELAM(CENT)",-3.632,143.055,"HL",61.5,"326",5.30081300813008
21,1936,26.6000003814697,107,"ABELAM(NWOS)",-3.754,142.993,"AL",64.6,"246",3.80804953560372
14.3000001907349,3284,20.3999996185303,1298,"ENGA (KYAKA)",-5.521,144.119,"AL",70.1,"330",4.70756062767475
10.6000003814697,2238,16.9166660308838,2055,"CHUAVE",-6.165,145.139,"AL",71.4,"211",2.95518207282913
20.2999992370605,1825,25.841667175293,231,"BOIKEN(NYANG",-3.656,143.296,"HL",73.3,"163",2.2237380627558
10.8000001907349,2874,17.3999996185303,1808,"MENDI(MAP)",-6.093,143.629,"AL",78.1,"302.5",3.87323943661972
7.09999990463257,2316,13.3583335876465,2576,"CHIMBU (CENT",-5.922,144.976,"AL",81.2,"415",5.11083743842365
11.6999998092651,2367,18.1833324432373,1767,"SINASINA",-6.071,145.032,"AL",104,"405.3",3.89711538461538
9,2663,15.3000001907349,2247,"ENGA (MAE)",-5.456,143.691,"AL",111.7,"350",3.13339301700985
